,testing,training,dow
2012-11-16 00:00:00,3.410788032112229,1.3797827040019583,4
2012-11-16 00:15:00,3.4127884493475436,1.3797827040019583,4
2012-11-16 00:30:00,3.4236014480368495,1.3797827040019583,4
2012-11-16 00:45:00,3.4193214787439934,1.3797827040019583,4
2012-11-16 01:00:00,3.4030032691726895,1.3797827040019583,4
2012-11-16 01:15:00,3.44540590859771,1.3797827040019583,4
2012-11-16 01:30:00,3.4440179115387903,1.3797827040019583,4
2012-11-16 01:45:00,3.475684285144439,1.3797827040019583,4
2012-11-16 02:00:00,3.4801522057231935,1.3797827040019583,4
2012-11-16 02:15:00,3.473389464917519,1.3797827040019583,4
2012-11-16 02:30:00,3.4733125399249647,1.3797827040019583,4
2012-11-16 02:45:00,3.4706893227426754,1.3797827040019583,4
2012-11-16 03:00:00,3.4692668533855984,1.3797827040019583,4
2012-11-16 03:15:00,3.468962831308518,1.3797827040019583,4
2012-11-16 03:30:00,3.467665370966468,1.3797827040019583,4
2012-11-16 03:45:00,3.4099179792188563,1.3797827040019583,4
2012-11-16 04:00:00,3.4255328052727814,1.3797827040019583,4
2012-11-16 04:15:00,3.428749772147278,1.3797827040019583,4
2012-11-16 04:30:00,3.4285310265476685,1.3797827040019583,4
2012-11-16 04:45:00,3.4308749795059583,1.3797827040019583,4
2012-11-16 05:00:00,3.3660965895232433,1.3797827040019583,4
2012-11-16 05:15:00,3.3682891614289905,1.3797827040019583,4
2012-11-16 05:30:00,3.3729618846052816,1.3797827040019583,4
2012-11-16 05:45:00,3.4087273101555087,1.3797827040019583,4
2012-11-16 06:00:00,3.4114971053776393,1.3797827040019583,4
2012-11-16 06:15:00,3.411023032024265,1.3797827040019583,4
2012-11-16 06:30:00,3.4288974175381814,1.3797827040019583,4
2012-11-16 06:45:00,3.5510487007361657,1.3797827040019583,4
2012-11-16 07:00:00,3.651108564532149,1.3797827040019583,4
2012-11-16 07:15:00,3.7553386997713014,1.3797827040019583,4
2012-11-16 07:30:00,3.939198443211513,1.3797827040019583,4
2012-11-16 07:45:00,4.110362666480904,1.3797827040019583,4
2012-11-16 08:00:00,4.292596460768238,1.3797827040019583,4
2012-11-16 08:15:00,4.467651438395794,1.3797827040019583,4
2012-11-16 08:30:00,4.72465970996854,1.3797827040019583,4
2012-11-16 08:45:00,4.861569962470972,1.3797827040019583,4
2012-11-16 09:00:00,5.008708665913801,1.3797827040019583,4
2012-11-16 09:15:00,5.200289655394208,1.3797827040019583,4
2012-11-16 09:30:00,5.315995908576303,1.3797827040019583,4
2012-11-16 09:45:00,5.444895832336924,1.3797827040019583,4
2012-11-16 10:00:00,5.526785062312447,1.3797827040019583,4
2012-11-16 10:15:00,5.686209468969641,1.3797827040019583,4
2012-11-16 10:30:00,5.8631734687795145,1.3797827040019583,4
2012-11-16 10:45:00,6.0694318617972804,1.3797827040019583,4
2012-11-16 11:00:00,6.29312943812536,1.3797827040019583,4
2012-11-16 11:15:00,6.480777586447479,1.3797827040019583,4
2012-11-16 11:30:00,6.671024096793536,1.3797827040019583,4
2012-11-16 11:45:00,6.797922246907508,1.3797827040019583,4
2012-11-16 12:00:00,6.94108758589027,1.3797827040019583,4
2012-11-16 12:15:00,7.1052317872114505,1.3797827040019583,4
2012-11-16 12:30:00,7.232117169266549,1.3797827040019583,4
2012-11-16 12:45:00,7.343649680165852,1.3797827040019583,4
2012-11-16 13:00:00,7.4010738241149845,1.3797827040019583,4
2012-11-16 13:15:00,7.502615793841506,1.3797827040019583,4
2012-11-16 13:30:00,7.633923671677627,1.3797827040019583,4
2012-11-16 13:45:00,7.740167149357952,1.3797827040019583,4
2012-11-16 14:00:00,7.8706684515992675,1.3797827040019583,4
2012-11-16 14:15:00,7.999790426942447,1.3797827040019583,4
2012-11-16 14:30:00,8.092636120263903,1.3797827040019583,4
2012-11-16 14:45:00,8.194798273905223,1.3797827040019583,4
2012-11-16 15:00:00,8.287706445392477,1.3797827040019583,4
2012-11-16 15:15:00,8.368137673640415,1.3797827040019583,4
2012-11-16 15:30:00,8.460531344129635,1.3797827040019583,4
2012-11-16 15:45:00,8.511097351399524,1.3797827040019583,4
2012-11-16 16:00:00,8.558043365746634,1.3797827040019583,4
2012-11-16 16:15:00,8.660815853601784,1.3797827040019583,4
2012-11-16 16:30:00,8.704584460214054,1.3797827040019583,4
2012-11-16 16:45:00,8.782360161141195,1.3797827040019583,4
2012-11-16 17:00:00,8.856863863693514,1.3797827040019583,4
2012-11-16 17:15:00,8.903720430247121,1.3797827040019583,4
2012-11-16 17:30:00,8.90138261732412,1.3797827040019583,4
2012-11-16 17:45:00,8.917900012054409,1.3797827040019583,4
2012-11-16 18:00:00,8.875642934458325,1.3797827040019583,4
2012-11-16 18:15:00,8.814622084922302,1.3797827040019583,4
2012-11-16 18:30:00,8.814447125316482,1.3797827040019583,4
2012-11-16 18:45:00,8.772997100478262,1.3797827040019583,4
2012-11-16 19:00:00,8.78770607866467,1.3797827040019583,4
2012-11-16 19:15:00,8.795128090312271,1.3797827040019583,4
2012-11-16 19:30:00,8.809297290363176,1.3797827040019583,4
2012-11-16 19:45:00,8.80508198428612,1.3797827040019583,4
2012-11-16 20:00:00,8.80510913475807,1.3797827040019583,4
2012-11-16 20:15:00,1.7862244934200322,1.3797827040019583,4
2012-11-16 20:30:00,1.7816700947235344,1.3797827040019583,4
2012-11-16 20:45:00,1.7819276229981977,1.3797827040019583,4
2012-11-16 21:00:00,1.8113370013199452,1.3797827040019583,4
2012-11-16 21:15:00,1.8591740297240178,1.3797827040019583,4
